keyword,frequency,avg_score,paper_ids_str,year
genai,234,0.7581115384615386,"11,20,26,57,103,201,203,229,235,255,299,331,370,429,431,481,482,502,508,533,551,553,563,590,652,677,721,724,734,744,747,749,750,761,763,788,790,801,804,821,823,848,863,883,900,905,942,949,977,985,991,1014,1038,1057,1070,1100,1102,1103,1115,1122,1143,1176,1187,1194,1243,1250,1264,1287,1288,1291,1297,1298,1299,1313,1331,1378,1379,1431,1437,1438,1441,1443,1453,1458,1477,1481,1491,1499,1500,1505,1519,1578,1646,1667,1677,1687,1695,1705,1757,1762,1784,1808,1818,1873,1884,1887,1893,1921,1957,1975,1983,1986,1991,2008,2013,2021,2045,2051,2086,2092,2112,2117,2159,2181,2191,2195,2197,2210,2262,2293,2340,2367,2383,2392,2423,2428,2450,2454,2496,2503,2520,2541,2579,2602,2655,2677,2681,2747,2760,2775,2777,2783,2820,2834,2841,2847,2861,2885,2929,2976,2998,3008,3009,3025,3027,3029,3059,3072,3083,3090,3114,3135,3143,3149,3175,3180,3187,3240,3249,3252,3254,3256,3259,3292,3450,3458,3464,3508,3522,3541,3549,3563,3581,3585,3595,3635,3649,3680,3700,3705,3707,3733,3742,3759,3765,3813,3830,3832,3833,3840,3848,3852,3858,3862,3893,3927,3930,3931,3945,3995,3996,4024,4125,4126,4145,4201,4203,4220,4245,4249,4252,4258,4262,4276","2026,2026,2026,2026,2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023,2023,2023,2023,2023,2023"
genai educational setting,163,0.8696932515337424,"80,86,155,157,167,204,213,250,281,293,330,333,370,387,411,422,425,478,489,520,573,615,650,652,696,713,764,777,810,845,851,859,908,915,935,974,1007,1028,1079,1111,1208,1213,1229,1234,1274,1295,1337,1345,1347,1399,1416,1466,1478,1481,1524,1526,1552,1575,1615,1660,1742,1750,1761,1773,1822,1835,1848,1871,1873,1881,1902,1922,1943,1970,1994,2047,2057,2120,2125,2198,2205,2224,2249,2301,2327,2331,2342,2384,2386,2387,2390,2417,2474,2483,2511,2519,2571,2594,2625,2633,2654,2669,2670,2674,2701,2716,2723,2728,2744,2858,2895,2901,2919,2957,2994,3010,3070,3144,3161,3202,3213,3230,3288,3308,3343,3374,3380,3396,3426,3485,3517,3528,3551,3552,3564,3595,3611,3636,3710,3740,3771,3778,3797,3816,3838,3839,3866,3919,3926,3946,3955,3977,4026,4052,4127,4135,4150,4175,4188,4194,4202,4218,4219","2026,2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023"
chatgpt,157,0.7567184713375794,"8,70,103,146,190,243,244,248,250,276,280,294,295,298,323,333,354,410,430,442,449,450,453,495,498,572,619,640,733,746,764,783,864,934,935,937,948,988,1042,1043,1044,1057,1083,1108,1132,1185,1209,1214,1215,1216,1247,1252,1312,1348,1360,1399,1415,1526,1556,1560,1567,1572,1605,1654,1740,1747,1750,1761,1782,1789,1927,1931,2089,2207,2245,2249,2262,2265,2302,2304,2336,2339,2379,2380,2382,2518,2569,2589,2595,2615,2674,2675,2679,2680,2686,2729,2744,2769,2813,2843,2994,3070,3073,3118,3137,3153,3238,3245,3351,3357,3372,3375,3376,3393,3450,3470,3472,3479,3482,3484,3522,3532,3551,3637,3641,3678,3682,3703,3714,3719,3794,3833,3917,3941,3978,3995,3996,3999,4014,4046,4076,4078,4102,4118,4138,4145,4147,4211,4214,4219,4221,4222,4256,4261,4266,4280,4282","2026,2026,2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023"
artificial intelligence,146,0.7202767123287671,"12,18,75,82,176,257,266,280,309,325,363,450,452,483,508,528,599,640,654,701,748,792,825,832,843,854,868,885,904,955,956,979,990,1002,1019,1046,1047,1071,1087,1133,1188,1243,1291,1347,1380,1408,1415,1425,1512,1555,1572,1574,1619,1636,1707,1718,1721,1727,1731,1786,1876,1882,1916,1948,1970,2005,2087,2122,2132,2196,2204,2205,2274,2315,2316,2406,2505,2519,2702,2706,2736,2857,2885,2896,2901,2991,3019,3051,3105,3121,3122,3125,3138,3199,3209,3251,3272,3284,3289,3290,3293,3304,3307,3317,3318,3361,3394,3399,3414,3441,3449,3485,3491,3498,3523,3526,3548,3567,3577,3604,3617,3635,3656,3682,3699,3718,3723,3730,3744,3776,3786,3788,3793,3827,3916,3923,3972,3979,3986,4014,4017,4078,4135,4220,4235,4274","2026,2026,2026,2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023,2023"
ethical consideration,63,0.6797349206349208,"73,103,150,186,206,232,450,479,619,633,762,780,827,854,856,1167,1213,1223,1257,1298,1383,1392,1411,1437,1444,1455,1609,1638,1846,1852,2016,2045,2135,2173,2389,2418,2474,2624,2670,2773,2859,2914,2994,3131,3162,3246,3329,3343,3385,3501,3524,3582,3611,3640,3818,3977,3996,4019,4066,4077,4147,4211,4238","2026,2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023"
academic integrity,51,0.7422058823529413,"132,257,282,297,388,412,422,549,555,822,953,980,994,1107,1119,1241,1248,1324,1398,1548,1559,1636,1700,1784,1875,1965,2249,2519,2668,2763,2800,2919,2957,2980,3030,3041,3117,3161,3209,3407,3471,3483,3551,3569,3775,3789,3854,3924,4172,4175,4263","2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023"
deep learning,47,0.7262978723404256,"53,90,126,187,462,515,801,888,1086,1207,1249,1275,1316,1492,1813,1951,2023,2170,2174,2248,2324,2337,2341,2457,2473,2634,2651,2697,2955,2992,3006,3036,3181,3260,3347,3493,3533,3602,3724,3728,3760,3889,3898,3966,3983,4092,4143","2026,2026,2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024"
ai education,47,0.8368063829787233,"322,537,614,905,917,979,987,1008,1043,1135,1158,1225,1369,1547,1644,1662,1758,1765,1948,2127,2147,2230,2316,2334,2401,2465,2596,2702,2860,2934,3071,3103,3105,3170,3195,3236,3337,3470,3581,3650,3807,3880,3947,3949,4019,4102,4275","2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023"
chatbot,39,0.749474358974359,"88,225,340,514,518,574,576,626,739,933,1158,1284,1463,1496,1540,1557,1596,1599,1744,2034,2324,2356,2359,2383,2455,2503,3117,3303,3310,3353,3397,3528,3647,3673,3721,3907,3954,3957,3963","2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024"
natural language processing,35,0.7481857142857142,"46,147,148,158,213,629,983,1048,1414,1755,2029,2110,2145,2210,2216,2433,2802,2906,3250,3267,3360,3397,3398,3540,3590,3669,3673,3806,3842,3966,4046,4170,4176,4190,4270","2026,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023"
